Job_Title,Job Title Full,Job Position Level,Years of Experience,Job_Skills,Job Location,Company Industry,Company Size
software engineer,"new grad software engineer, backend",entry level,2,"['microsoft azure', 'java', 'amazon web services', 'sql', 'go', 'cloud computing', 'coding', 'microsoft']","seattle, wa29",nan,
business intelligence analyst,senior business intelligence analyst,associate,5,"['powerbi', 'looker', 'xml', 'amazon web services', 'sql', 'sas', 'scrum', 'python', 'dax', 'visual basic', 'c++', 'pl/sql', 'server', 'cloud computing', 'amazon redshift', 'powershell', 'microsoft azure', 'tableau', 'etl', 'agile', 'powerbi', 'linux', 'aurora', 'alteryx', 'linux', 'json', 'database', 'snowflake', 'ssis']","blue bell, pa",nan,
data engineer,senior data engineer,mid-senior level,6,"['cloud computing', 'microsoft azure', 'amazon web services']","lanham, md1",nan,
data scientist,data scientist,mid-senior level,6,[],"indianapolis, in",nan,
compensation analyst,senior sales compensation analyst,mid-senior level,8,"['oracle', 'sap', 'excel']","south carolina, united states",nan,
software engineer,software engineer,entry level,3,"['redis', 'postgresql', 'datadog', 'go', 'saas', 'docker', 'python', 'graphql']","idaho, united states1",nan,
software engineer,remote senior software engineer,mid-senior level,7,"['cloud computing', 'amazon web services', 'saas', 'python']","san francisco, ca1",nan,
software engineer,software engineer,associate,3,"['github', 'microsoft azure', 'git', 'java', 'amazon web services', 'agile', 'sql', 'c++', 'server', 'programming', 'cloud computing', 'coding', 'microsoft', 'ci-cd']",united states1,nan,
software engineer,software engineer,mid-senior level,3,"['microsoft azure', 'jira software', 'agile', 'java', 'datadog', 'sql', 'jquery', 'c++', 'javascript', 'saas', 'cloud computing', 'database', 'mongodb']","florida, united states",nan,
software engineer,staff software engineer,associate,6,"['agile', 'amazon web services', 'saas', 'programming', 'css', 'backend', 'postgresql']",united states2,nan,
compensation analyst,senior sales compensation analyst,mid-senior level,5,"['oracle', 'sap', 'excel']","oklahoma, united states1",nan,
data analyst,senior business data analyst,mid-senior level,6,['sql'],united states,staffing & recruiting,"1,001-5,000 employees"
software engineer,software engineer,entry level,2,"['bitbucket', 'jira software', 'agile', 'git', 'scrum', 'programming', 'cloud computing', 'graphql']","boston, ma26",nan,
business analyst,remote business analyst,associate,4,"['sharepoint', 'database', 'microsoft', 'excel']","north chicago, il17",nan,
software engineer,software engineer,entry level,2,"['powershell', 'postgresql', 'mysql', 'agile', 'oracle', 'vba', 'sql', 'kanban', 'scrum', 'server', 'programming', 'cloud computing', 'microsoft', 'etl']",united states7,nan,
data engineer,data engineer,mid-senior level,6,"['dax', 'github', 'microsoft azure', 'jira software', 'datalake', 'powerbi', 'hadoop', 'sas', 'machine learning', 'programming', 'tableau', 'microsoft', 'python', 'r']","irvine, ca14",nan,
data scientist,data scientist,mid-senior level,4,[],"gresham, or",nan,
software engineer,"staff software engineer, backend",mid-senior level,4,[],"palo alto, ca",financial services,"1,001-5,000 employees"
marketing analyst,marketing analyst,associate,3,"['php', 'powerbi', 'sql', 'spark', 'tableau', 'excel', 'python']","baltimore, md",professional training & coaching,11-50 employees
data scientist,data scientist,mid-senior level,6,[],"mountain view, ca2",nan,
senior analyst,"senior analyst, product",mid-senior level,4,"['saas', 'slack', 'sql', 'excel']",united states9,nan,
data analyst,"epic clarity, senior data analyst",mid-senior level,7,"['powerbi', 'powerbi', 'sql', 'machine learning', 'tableau', 'cloud computing']",united states58,nan,
software engineer,software engineer ii,mid-senior level,5,"['git', 'agile', 'node.js', 'javascript', 'saas', 'html', 'machine learning', 'css', 'html', 'mongodb', 'ci-cd']","chicago, il29",nan,
software engineer,software engineer,entry level,2,"['cloud computing', 'programming', 'go']","new orleans, la3",nan,
software engineer,"content software engineer, cs assessment specialist",entry level,2,"['github', 'xml', 'git', 'java', 'c++', 'programming', 'python']",united states6,nan,
sales engineer,"sales engineer, central",entry level,0,"['cloud computing', 'microsoft']","chicago, il1",nan,
software engineer,"senior software engineer, devops",mid-senior level,10,"['powershell', 'github', 'microsoft azure', 'agile', 'amazon web services', 'asp.net', 'linux', 'c++', 'ci-cd', 'kanban', 'cloud computing', 'devops', 'microsoft', 'python', 'ruby']","san jose, ca1",nan,
software developer,software developer inventory || us,entry level,1,"['amazon web services', 'frontend', 'asp.net', 'ci-cd', 'postgresql', 'java', 'c++', 'css', 'cloud computing', 'microsoft', 'git', 'programming', 'docker', 'coding', 'backend', 'oracle', 'html', 'database', 'aurora']",united states1,nan,
software engineer,"software engineer ii- admin panel, internal tooling",entry level,1,"['ruby', 'ios']",united states17,nan,
developer,swift developer,mid-senior level,5,[],"gilbert, az",nan,
software engineer,software engineer,mid-senior level,8,"['agile', 'amazon web services', 'go', 'javascript', 'scrum', 'linux', 'programming', 'cloud computing', 'python', 'ruby']","ellicott city, md",information technology & services,51-200 employees
software engineer,"senior software engineer, enterprise",mid-senior level,3,"['devops', 'mysql', 'datalake', 'scala', 'java', 'amazon web services', 'spark', 'backend', 'amazon redshift', 'python', 'ci-cd']","raleigh, nc",nan,
data engineer,senior data engineer,mid-senior level,4,"['cloud computing', 'microsoft azure', 'amazon web services']","allen, tx",nan,
business analyst,business analyst senior-technical,associate,4,"['cloud computing', 'splunk']","reston, va",nan,
business analyst,it governance business analyst,associate,4,"['powerpoint', 'microsoft', 'excel']","united, la",nan,
data engineer,senior data engineer,mid-senior level,5,"['cloud computing', 'microsoft azure', 'amazon web services']","st louis, mo",nan,
business analyst,business analyst,mid-senior level,5,"['powerpoint', 'spreadsheet', 'sharepoint', 'excel', 'word']","california, united states9",nan,
data analyst,senior data analyst,associate,5,"['tableau', 'microsoft', 'excel', 'r', 'etl']",united states,nan,
software engineer,software engineer,entry level,2,"['devops', 'agile', 'kanban', 'scrum', 'cloud computing', 'backend']","nevada, united states11",nan,
quality engineer,data quality engineer,entry level,2,"['warehousing', 'powerbi', 'sql', 'slack', 'snowflake']","salt lake city, ut1",nan,
developer,servicenow developer- ticketing,mid-senior level,5,"['sql', 'javascript']","philadelphia, pa14",nan,
business analyst,business analyst,mid-senior level,2,['agile'],"pittsburgh, pa26",nan,
data engineer,remote data engineer,entry level,2,"['warehousing', 'amazon web services', 'cloud computing', 'snowflake', 'python']",united states1,nan,
software engineer,senior software engineer,associate,3,"['microsoft azure', 'java', 'amazon web services', 'go', 'javascript', 'c++', 'programming', 'cloud computing', 'microsoft', 'python']","boston, ma",nan,
ux researcher,ux researcher,mid-senior level,8,[],"illinois, united states3",nan,
software engineer,software engineer,mid-senior level,8,"['postgresql', 'java', 'node.js', 'javascript', 'mongodb']","las vegas, nv1",nan,
business analyst,lead business analyst,associate,4,"['microsoft', 'sql', 'vba']","columbia, sc9",nan,
ux researcher,ux researcher,mid-senior level,5,['excel'],"north charleston, sc",nan,
solutions engineer,solutions engineer,entry level,1,"['powerbi', 'powerbi', 'cognos', 'sql', 'linux', 'qlik', 'tableau', 'cloud computing', 'excel', 'etl']",united states1,nan,
software engineer,"intern, software engineer",entry level,0,"['java', 'c++', 'javascript', 'html', 'coding', 'python']","boston, ma12",nan,
software engineer,senior software engineer,mid-senior level,4,"['nodejs', 'redis', 'postgresql', 'amazon web services', 'frontend', 'docker', 'vuejs']","houston, tx",nan,
software engineer,software engineer,associate,3,"['excel', 'agile', 'amazon web services', 'artificial intelligence', 'splunk', 'frontend', 'sql', 'javascript', 'server', 'cloud computing', 'backend', 'backend', 'python']","portland, or22",nan,
software engineer,optical software engineer,mid-senior level,7,"['java', 'c++', 'programming', 'matlab', 'python', 'r']",united states4,nan,
data analyst,data analyst,associate,6,"['database', 'sql', 'excel', 'go']","woburn, ma16",nan,
software engineer,remote front end software engineer,entry level,2,"['amazon web services', 'backend', 'jira software', 'agile']","columbus, oh1",nan,
data scientist,data scientist,mid-senior level,7,[],"everett, wa",nan,
software engineer,software engineer,entry level,1,"['microsoft azure', 'agile', 'git', 'powerbi', 'css', 'asp.net', 'sql', 'c++', 'javascript', 'coding', 'scrum', 'json', 'html', 'server', 'apache http server', 'cloud computing', 'devops', 'microsoft']","richland, wa",nan,
data engineer,tip: senior data engineer,mid-senior level,5,"['agile', 'amazon web services', 'sql', 'saas', 'python', 'postgresql']","columbia, sc1",nan,
data engineer,full time remote data engineering opportunity,entry level,3,"['github', 'jira software', 'agile', 'sql', 'scrum', 'programming', 'spark', 'devops', 'backend', 'etl']",united states,nan,
software engineer,support software engineer,mid-senior level,5,"['redis', 'postgresql', 'amazon web services', 'saas', 'ruby']","los angeles, ca",nan,
data analyst,data analyst,mid-senior level,7,['excel'],united states35,nan,
software engineer,senior software engineer,mid-senior level,6,"['microsoft azure', 'java', 'css', 'c++', 'javascript', 'scrum', 'apache http server', 'html', 'server', 'programming', 'cloud computing']","missouri, united states",nan,
analytics engineer,senior analytics engineer,associate,2,"['warehousing', 'looker', 'apache airflow', 'pandas', 'sql', 'snowflake', 'bigquery', 'amazon redshift', 'python', 'ci-cd', 'etl']",united states2,nan,
business analyst,"principal, business analyst",associate,4,"['database', 'sql']","anchorage, ak",nan,
product manager,"lead product manager, ml credit",mid-senior level,7,"['machine learning', 'machine learning']","richmond, va",nan,
software engineer,"senior software engineer, backend",mid-senior level,6,"['no-sql', 'spark']","detroit, mi",nan,
ux researcher,senior ux researcher,mid-senior level,6,['go'],"texas, united states1",nan,
software engineer,"software engineer, foundation platform",entry level,2,"['fullstack', 'amazon web services', 'frontend', 'go', 'kotlin', 'programming', 'backend']",united states25,nan,
data scientist,"data scientist, experience innovation",mid-senior level,8,"['microsoft azure', 'artificial intelligence', 'powerbi', 'sql', 'hadoop', 'snowflake', 'sas', 'sql', 'machine learning', 'tableau', 'cloud computing', 'database', 'amazon redshift', 'r', 'spss']","maryland, united states4",nan,
software developer,software developer,mid-senior level,3,"['powershell', 'mysql', 'php', 'postgresql', 'agile', 'amazon web services', 'backend', 'sql', 'c++', 'bash', 'cloud computing', 'devops', 'python', 'etl']","franklin, tn35",nan,
data warehouse engineer,data warehouse engineer,mid-senior level,7,"['database', 'warehousing', 'etl']",dallas-fort worth metroplex15,nan,
system engineer,system engineer mid level with security clearance,entry level,2,[],"springfield, va",nan,
software engineer,"principal software engineer, full stack",associate,3,"['scala', 'java', 'artificial intelligence', 'sql', 'machine learning', 'cloud computing', 'no-sql']","washington, dc1",nan,
software engineer,software engineer,entry level,2,"['xml', 'amazon web services', 'visual basic', 'asp.net', 'sql', 'c++', 'javascript', 'json', 'html', 'css', 'devops', 'ci-cd']","atlanta, ga8",nan,
quality assurance analyst,remote junior quality assurance analyst,entry level,1,"['jira software', 'agile']","huntington beach, ca39",nan,
software engineer,"software engineer, frontend",entry level,2,"['css', 'vuejs', 'html', 'javascript']",united states24,nan,
systems analyst,principal business systems analyst,mid-senior level,7,"['oracle', 'cloud computing']",united states,nan,
data scientist,data scientist,mid-senior level,3,"['scala', 'agile', 'amazon web services', 'sas', 'machine learning', 'programming', 'spark', 'database', 'devops', 'python', 'r']","madison, wi20",nan,
data engineer,senior data engineer,mid-senior level,4,"['cloud computing', 'microsoft azure', 'amazon web services']","las vegas, nv",nan,
business analyst,senior business analyst,associate,4,"['powerbi', 'microsoft']","san francisco, ca7",nan,
data analyst,sap mdg master data analyst,associate,4,"['database', 'sap', 'warehousing']",united states18,nan,
machine learning engineer,machine learning engineer,mid-senior level,4,"['tensorflow', 'pytorch', 'spark', 'sql', 'machine learning', 'machine learning', 'pyspark', 'mlops', 'python']","new york, ny10",nan,
software engineer,senior software engineer,associate,4,"['linux', 'linux', 'server', 'cloud computing', 'python']","spokane, wa",nan,
software engineer,software engineer,entry level,2,"['redis', 'postgresql', 'datadog', 'go', 'saas', 'docker', 'python', 'graphql']","connecticut, united states3",nan,
software engineer,principal software engineer,mid-senior level,6,"['postgresql', 'redis', 'agile', 'javascript', 'saas', 'scrum', 'server', 'programming', 'cloud computing', 'ruby', 'graphql']","utah, united states",nan,
software engineer,"software engineer, backend",mid-senior level,5,[],"minneapolis, mn3",nan,
software engineer,"senior software engineer, mtp",associate,4,"['saas', 'linux', 'programming', 'cloud computing', 'python']","los angeles, ca3",nan,
data engineer,data engineer,entry level,2,"['powerbi', 'cognos', 'sql', 'scrum', 'pyspark', 'python', 'ci-cd', 'java', 'server', 'microsoft azure', 'git', 'tableau', 'mongodb', 'etl', 'warehousing', 'scala', 'agile', 'oracle', 'powerbi', 'hadoop', 'no-sql']","chicago, il7",nan,
data engineer,aws data engineer,mid-senior level,3,"['amazon web services', 'pandas', 'programming', 'cloud computing', 'python']","seattle, wa170",nan,
data engineer,senior data engineer,mid-senior level,4,"['cloud computing', 'microsoft azure', 'amazon web services']","gresham, or",nan,
data engineer,senior data engineer,mid-senior level,8,"['cloud computing', 'microsoft azure', 'amazon web services']","elgin, il",nan,
business analyst,"senior business analyst, operations",associate,3,"['sql', 'python', 'r']","richmond, va",nan,
data analyst,data analyst,entry level,1,"['saas', 'sql', 'python', 'go']","new york, ny97",nan,
software development engineer,"senior software development engineer, developer enablement",mid-senior level,5,"['mysql', 'redis', 'spark', 'agile', 'amazon web services', 'sql', 'coding', 'cloud computing', 'docker', 'google cloud platform', 'python']",united states,nan,
software development engineer,software development engineer,mid-senior level,6,"['agile', 'java', 'amazon web services', 'c++', 'programming', 'cloud computing', 'devops']",united states15,nan,
business intelligence analyst,business intelligence analyst,associate,2,"['ssis', 'vba', 'sql', 'go', 'ssrs', 'server', 'database', 'microsoft', 'excel', 'etl']","alexandria, va33",nan,
data engineer,senior data engineer,mid-senior level,2,"['cloud computing', 'microsoft azure', 'amazon web services']","miami-dade county, fl",nan,
data engineer,data engineer,mid-senior level,7,"['warehousing', 'microsoft azure', 'amazon web services', 'sql', 'go', 'google cloud platform', 'etl']","boston, ma18",nan,
software engineer,full stack software engineer,mid-senior level,6,"['mysql', 'github', 'jira software', 'agile', 'c++', 'javascript', 'json', 'html', 'css', 'python', 'no-sql']","new york, ny6",nan,
data analyst,data analyst,entry level,2,"['twilio', 'powerbi', 'tableau', 'slack', 'excel']","newark, nj",nan,
user experience researcher,user experience researcher,entry level,2,[],united states27,nan,
developer,sap technical developer and integration lead,mid-senior level,4,"['cloud computing', 'sap', 'programming']",greater chicago area3,nan,
software engineer,senior software engineer,associate,3,"['mysql', 'agile', 'oracle', 'sql', 'c++', 'javascript', 'scrum', 'server', 'programming', 'database', 'microsoft']",united states,nan,
software engineer,"senior software engineer, data security",associate,2,"['c++', 'programming', 'cloud computing', 'docker', 'python', 'ci-cd']","san diego, ca2",nan,
software engineer,"software engineer, access requests",entry level,3,"['docker', 'agile', 'java', 'amazon web services', 'saas', 'cloud computing', 'backend']",united states5,nan,
software developer,software developer,mid-senior level,8,"['xml', 'jira software', 'agile', 'oracle', 'java', 'javascript', 'scrum', 'linux', 'apache http server', 'server', 'cloud computing', 'coding']",united states1,nan,
business analyst,business analyst,mid-senior level,7,['excel'],"virginia, united states",nan,
ux researcher,ux researcher,mid-senior level,4,['excel'],"burbank, ca",nan,
software engineer,senior mobile and front-end software engineer,associate,4,"['postgresql', 'backend', 'frontend', 'coding', 'ios', 'html', 'css', 'mongodb', 'python', 'graphql']",greater minneapolis-st. paul area,nan,
data engineer,data engineer,mid-senior level,3,"['github', 'agile', 'oracle', 'amazon web services', 'apache airflow', 'sql', 'server', 'spark', 'cloud computing', 'database', 'amazon redshift', 'ci-cd', 'etl']","charlotte, nc",internet,"1,001-5,000 employees"
database engineer,senior database engineer,mid-senior level,4,"['postgresql', 'sql', 'javascript', 'perl', 'bash', 'linux', 'programming', 'ruby', 'database', 'python', 'postgresql']",atlanta metropolitan area3,nan,
software engineer,software engineer,mid-senior level,5,"['mysql', 'xml', 'php', 'git', 'agile', 'amazon web services', 'css', 'frontend', 'javascript', 'mssql', 'coding', 'scrum', 'json', 'html', 'cloud computing', 'docker', 'mongodb', 'postgresql']","aliso viejo, ca27",nan,
senior analyst,"senior analyst, digital solutions",associate,4,"['css', 'javascript', 'saas', 'html', 'cloud computing', 'r']",united states,nan,
operations manager,operations manager,associate,3,[],"pontiac, mi1",nan,
data scientist,data scientist,mid-senior level,4,[],"chula vista, ca",nan,
software engineer,"software engineer, items server foundation",associate,4,"['mysql', 'go', 'database', 'backend', 'terminal']","chicago, il3",nan,
software engineer,senior platform software engineer,associate,3,"['postgresql', 'frontend', 'python', 'coding', 'html', 'css', 'backend', 'mongodb']","austin, texas metropolitan area",nan,
data scientist,data scientist advisor,entry level,1,"['tableau', 'sql', 'hadoop', 'machine learning', 'programming', 'spark', 'python', 'r']","philadelphia, pa",nan,
product manager,product manager,mid-senior level,8,[],new york city metropolitan area,staffing & recruiting,51-200 employees
software engineer,software engineer,mid-senior level,9,"['mysql', 'agile', 'java', 'no-sql', 'sql', 'javascript', 'cloud computing', 'database', 'mongodb', 'postgresql']","colorado, united states",nan,
software development engineer,"principal software development engineer in test, data engineering",mid-senior level,8,"['no-sql', 'postgresql', 'sql', 'go', 'mongodb', 'programming', 'cloud computing', 'docker', 'python']","colorado springs, co",nan,
data analyst,clinical data analyst,mid-senior level,7,"['agile', 'ai/ml', 'sql', 'scrum', 'data_lakes', 'coding']",united states28,nan,
data engineer,senior data engineer,mid-senior level,5,"['slack', 'looker', 'warehousing', 'redis', 'postgresql', 'amazon web services', 'node.js', 'saas', 'ruby', 'database', 'amazon redshift', 'etl']","pittsburgh, pa",nan,
software engineer,software engineer,mid-senior level,5,"['mysql', 'git', 'node.js', 'gitlab', 'json', 'linux', 'docker', 'ci-cd']",united states11,nan,
financial analyst,senior financial analyst,associate,3,"['sql', 'excel', 'tableau']",united states,consumer electronics,"5,001-10,000 employees"
data scientist,ecomm data scientist,mid-senior level,5,"['scala', 'java', 'amazon web services', 'sql', 'python', 'amazon redshift']",san francisco bay area13,nan,
data engineer,senior data engineer,mid-senior level,5,"['cloud computing', 'microsoft azure', 'amazon web services']","lakewood, nj",nan,
data analyst,senior data analyst,mid-senior level,11,"['database', 'excel', 'macros', 'vba']","des moines, ia24",nan,
ux researcher,ux researcher,mid-senior level,5,['excel'],"springfield, il",nan,
software engineer,senior software engineer,associate,4,"['slack', 'github', 'microsoft azure', 'java', 'amazon web services', 'go', 'cloud computing']",united states5,nan,
ux researcher,ux researcher,mid-senior level,5,['excel'],"tempe, az",nan,
data engineer,data engineer,entry level,2,"['amazon web services', 'ai/ml', 'hadoop', 'machine learning', 'programming', 'spark', 'cloud computing', 'database', 'docker']","santa clara, ca93",nan,
machine learning engineer,senior machine learning engineer,mid-senior level,6,"['tensorflow', 'pytorch', 'amazon web services', 'machine learning', 'cloud computing', 'ai/ml', 'python']",united states11,nan,
business analyst,lead salesforce business analyst,mid-senior level,8,"['agile', 'frontend', 'cloud computing', 'database', 'backend']","st louis, mo8",nan,
software engineer,"senior staff software engineer, data science",mid-senior level,4,"['postgresql', 'mysql', 'docker', 'agile', 'java', 'backend', 'amazon web services', 'no-sql', 'coding', 'machine learning', 'programming', 'machine learning', 'devops', 'splunk', 'python', 'etl']","richmond, va",computer & network security,"1,001-5,000 employees"
software engineer,senior software engineer,mid-senior level,0,"['mysql', 'php', 'amazon web services', 'sql', 'server', 'cloud computing', 'database', 'coding', 'backend', 'google cloud platform', 'mongodb', 'no-sql']","tamarac, fl",retail,"1,001-5,000 employees"
data engineer,data engineer,mid-senior level,9,"['github', 'agile', 'amazon web services', 'sql', 'ai/ml', 'saas', 'server', 'devops', 'python', 'amazon redshift']","denver, co2",nan,
software engineer,software engineer,mid-senior level,4,"['devops', 'bitbucket', 'jira software', 'agile', 'java', 'git', 'no-sql', 'sql', 'coding', 'postgresql']",united states,retail,"10,001+ employees"
software engineer,software engineer,mid-senior level,4,"['sql', 'programming', 'tableau', 'devops', 'python']",united states46,nan,
data scientist,senior data scientist,associate,4,"['github', 'git', 'amazon web services', 'machine learning', 'docker', 'python']","arlington, va",nan,
ux researcher,ux researcher,mid-senior level,10,['excel'],"houston, tx",nan,
data architect,senior data modeler/ data architect-with healthcare experience,mid-senior level,3,"['etl', 'sql', 'datalake', 'ibm']","indianapolis, in1",nan,
software engineer,software engineer,associate,3,"['vuejs', 'agile', 'amazon web services', 'javascript', 'scrum', 'linux', 'cloud computing', 'backend', 'google cloud platform', 'ruby']","free home, ga1",nan,
business intelligence analyst,business intelligence analyst,entry level,4,"['xml', 'powerbi', 'sql', 'mssql', 'json', 'tableau', 'etl']","charlotte, nc4",nan,
software engineer,full stack software engineer,mid-senior level,4,"['mysql', 'github', 'jira software', 'agile', 'c++', 'javascript', 'json', 'html', 'css', 'python', 'no-sql']","new york, ny10",nan,
software engineer,software engineer,entry level,1,"['redis', 'postgresql', 'datadog', 'go', 'saas', 'docker', 'python', 'graphql']","kentucky, united states",nan,
business analyst,aem lead business analyst,associate,4,['agile'],"charlotte, nc",nan,
data scientist,data scientist,entry level,1,"['java', 'amazon web services', 'sql', 'sas', 'machine learning', 'programming', 'python', 'r']",united states35,nan,
